Year	Week	Total	Bad	Reg_time	Work_time	Claim	Rate
2010	2	15	1	257	8921	0	3,4
2010	3	763	35	2135	25489	1	3,43262411347518
2010	4	769	52	1003	48695	1	3,41666666666667
2010	5	845	51	1459	31742	1	3,39482200647249
2010	6	791	39	3628	25259	2	3,29032258064516
2010	7	733	58	1718	28581	4	3,43272727272727
2010	8	642	54	1349	35209	6	3,36324786324786
2010	9	589	37	2115	27855	3	3,33802816901408
2010	10	745	72	2395	27419	6	3,38339920948617
2010	11	619	29	2446	29590	3	3,33644859813084
2010	12	813	35	2641	20266	6	3,39455782312925
2010	13	754	35	2251	23792	4	3,29924242424242
2010	14	815	33	3330	20917	8	3,19494584837545
2010	15	728	15	1650	24221	5	3,26209677419355
2010	16	721	24	3388	25589	4	3,32142857142857
2010	17	743	7	2470	22759	5	3,24528301886792
2010	18	603	6	2879	19745	2	3,30841121495327
2010	19	527	5	3071	20743	1	3,42051282051282
2010	20	506	17	2368	23264	1	3,34210526315789
2010	21	595	16	2703	24622	1	3,28934010152284
2010	22	605	10	1877	24627	1	3,42857142857143
2010	23	760	15	2790	39807	2	3,40167364016736
2010	24	704	15	3119	22687	0	3,28112449799197
2010	25	519	10	2225	32857	1	3,32065217391304
2010	26	571	18	2513	43597	0	3,34361233480176
2010	27	681	30	1681	31374	1	3,30278884462151
2010	28	757	28	2513	29222	3	3,2996632996633
2010	29	622	25	4332	48410	1	3,30232558139535
2010	30	562	18	2058	43026	1	3,27678571428571
2010	31	697	20	2028	39448	2	3,24152542372881
2010	32	749	23	2888	34290	7	3,29900332225914
2010	33	735	17	2717	44397	0	3,25320512820513
2010	34	690	42	2802	55914	3	3,27450980392157
2010	35	631	23	6499	38608	1	3,23735408560311
2010	36	807	25	1951	42327	3	3,24534161490683
2010	37	726	17	1602	29829	2	3,28346456692913
2010	38	769	25	3121	32398	2	3,3006993006993
2010	39	801	25	2768	25535	3	3,23364485981308
2010	40	752	27	1298	36108	6	3,29126213592233
2010	41	959	23	2455	37427	1	3,36699507389163
2010	42	796	23	1394	41199	1	3,37883959044369
2010	43	791	15	1680	42438	3	3,51242236024845
2010	44	785	23	1826	26504	4	3,40294117647059
2010	45	498	15	2926	24230	2	3,39306358381503
2010	46	987	36	2351	30934	2	3,45535714285714
2010	47	822	20	2417	26425	2	3,46802325581395
2010	48	922	24	1445	41222	5	3,38829787234043
2010	49	900	27	2728	33727	3	3,33048433048433
2010	50	900	22	1581	32430	6	3,41917808219178
2010	51	833	43	2319	37409	3	3,47176079734219
2010	52	872	33	4268	36743	2	3,42592592592593
2010	53	591	26	3454	31193	3	3,42533936651584
2011	2	6	0	120	11218	0	4,75
2011	3	790	50	6080	31108	3	3,37308868501529
2011	4	900	39	2240	58787	2	3,46666666666667
2011	5	874	21	3183	43138	0	3,3768115942029
2011	6	851	25	2582	31670	0	3,32352941176471
2011	7	931	36	2131	37235	1	3,43137254901961
2011	8	923	28	2857	47281	0	3,28960396039604
2011	9	674	20	3179	40429	2	3,27611940298507
2011	10	1018	20	7313	25043	2	3,32323232323232
2011	11	569	10	4820	42619	2	3,42723004694836
2011	12	837	28	3588	40834	1	3,49698795180723
2011	13	936	35	4448	28533	2	3,43909348441926
2011	14	945	22	2276	32616	3	3,40979381443299
2011	15	879	17	1759	26709	0	3,45212765957447
2011	16	870	26	2906	57844	1	3,3359375
2011	17	922	19	2903	50443	2	3,46683673469388
2011	18	867	19	5524	32645	0	3,40712468193384
2011	19	726	8	1682	29844	0	3,41935483870968
2011	20	738	2	3683	42499	0	3,36259541984733
2011	21	843	28	4420	47769	2	3,40762463343109
2011	22	841	20	3939	45976	6	3,36395759717314
2011	23	927	9	4048	28605	2	3,32848837209302
2011	24	823	18	2804	36191	3	3,45098039215686
2011	25	684	7	3528	34412	0	3,25390625
2011	26	831	23	6283	28049	3	3,37677053824363
2011	27	784	14	5534	34785	2	3,4006309148265
2011	28	757	17	6592	30114	3	3,45487364620939
2011	29	849	10	3763	49866	1	3,36392405063291
2011	30	752	18	2646	38634	3	3,48096885813149
2011	31	732	16	2157	43990	4	3,30970149253731
2011	32	807	17	2747	34714	5	3,30967741935484
2011	33	754	18	1404	36949	3	3,27372262773723
2011	34	676	9	2793	44168	1	3,325
2011	35	822	13	2118	51937	1	3,34228187919463
2011	36	758	15	3475	52309	1	3,36236933797909
2011	37	745	15	1909	47169	2	3,38795986622074
2011	38	737	18	3784	32543	1	3,36466165413534
2011	39	749	18	2532	58369	1	3,37388724035608
2011	40	793	16	1949	45484	6	3,30578512396694
2011	41	755	11	2699	32889	2	3,28486646884273
2011	42	818	17	3791	35009	0	3,31412103746398
2011	43	869	20	2417	25188	0	3,29736842105263
2011	44	1014	20	2624	34195	2	3,31094527363184
2011	45	725	19	2353	29986	3	3,37455830388693
2011	46	935	21	3639	29950	3	3,32857142857143
2011	47	889	17	2754	38523	2	3,22651933701657
2011	48	798	17	1938	30316	0	3,3810888252149
2011	49	859	17	1832	35627	0	3,36974789915966
2011	50	859	21	2177	34315	0	3,33247422680412
2011	51	857	13	3631	34724	0	3,35526315789474
2011	52	817	18	1682	29542	0	3,43827160493827
2011	53	602	9	1905	23551	0	3,52049180327869
2012	1	16	0	1023	12138	0	3,42857142857143
2012	2	907	15	3302	29332	1	3,37652811735941
2012	3	986	18	2407	32151	0	3,36026200873362
2012	4	919	22	1442	30709	1	3,37634408602151
2012	5	1081	16	6587	26044	2	3,38215102974828
2012	6	926	6	5423	24126	0	3,39782016348774
2012	7	917	16	3921	26656	0	3,32418952618454
2012	8	722	10	3625	24156	0	3,33110367892977
2012	9	991	15	2825	34767	0	3,34975369458128
2012	10	453	10	2755	56657	0	3,51633986928105
2012	11	1066	15	2135	37917	0	3,40318906605923
2012	12	795	18	2975	36607	0	3,36070381231672
2012	13	826	14	1781	25938	1	3,39520958083832
